Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,LEGACY_120s,AMP_P2P,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Avogadro Constant (1/mol),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Gas Constant R (J/(mol·K)),2
151008-v1,H1,LEGACY_120s,AMP_P2D,Gas Constant R (J/(mol·K)),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Gas Constant R (J/(mol·K)),10
151008-v1,H1,LEGACY_120s,AMP_P2P,Fine-Structure Constant,119
151008-v1,H1,LEGACY_120s,AMP_P2D,Fine-Structure Constant,2014
151008-v1,H1,LEGACY_120s,AMP_D2D,Fine-Structure Constant,126
151008-v1,H1,LEGACY_120s,AMP_P2P,Gravitational Constant (m^3 kg^-1 s^-2),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Gravitational Constant (m^3 kg^-1 s^-2),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Planck Constant (J·s),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Planck Constant (J·s),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Planck Constant (J·s),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Reduced Planck Constant (J·s),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Reduced Planck Constant (J·s),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Reduced Planck Constant (J·s),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Electron Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Electron Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Electron Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Proton Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Proton Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Proton Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Neutron Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Neutron Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Neutron Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Muon Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Muon Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Muon Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Tau Mass (kg),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Tau Mass (kg),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Tau Mass (kg),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Elementary Charge (C),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Elementary Charge (C),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Elementary Charge (C),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Speed of Light (m/s),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Speed of Light (m/s),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Speed of Light (m/s),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Hubble Constant (km/s/Mpc),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Hubble Constant (km/s/Mpc),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Hubble Constant (km/s/Mpc),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Critical Density (kg/m^3),104
151008-v1,H1,LEGACY_120s,AMP_P2D,Critical Density (kg/m^3),2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Critical Density (kg/m^3),109
151008-v1,H1,LEGACY_120s,AMP_P2P,Baryon-to-Photon Ratio,104
151008-v1,H1,LEGACY_120s,AMP_P2D,Baryon-to-Photon Ratio,2330
151008-v1,H1,LEGACY_120s,AMP_D2D,Baryon-to-Photon Ratio,109
151008-v1,H1,LEGACY_120s,AMP_P2P,Astronomical Unit (m),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Astronomical Unit (m),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Astronomical Unit (m),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Parsec (m),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Parsec (m),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Parsec (m),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Solar Mass (kg),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Solar Mass (kg),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Solar Mass (kg),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Solar Radius (m),0
151008-v1,H1,LEGACY_120s,AMP_P2D,Solar Radius (m),0
151008-v1,H1,LEGACY_120s,AMP_D2D,Solar Radius (m),0
151008-v1,H1,LEGACY_120s,AMP_P2P,Earth Mass (kg),0
