BinIndex,BinCenter,ObsCount,ExpCount,StdCount,ZScore,ChiSquareApprox
0,-2030.4503684630927,3.0,428.524,21.27198683715273,-20.003961231152992,400.15846493747193
1,-2011.7347271482809,0.0,427.952,20.841345829864256,-20.533798704437473,421.636889234358
2,-1993.0190858334695,0.0,428.414,20.193033551202756,-21.215930677958113,450.1157145319242
3,-1974.3034445186577,0.0,429.852,21.161240417329044,-20.3131759539007,412.6251173341296
4,-1955.5878032038463,0.0,427.534,20.421577901817486,-20.93540479856604,438.291174079822
5,-1936.8721618890345,0.0,428.278,21.149957825017058,-20.249591206910814,410.04594404699975
6,-1918.1565205742231,0.0,428.752,19.842340990921404,-21.607934275303993,466.9028236458571
7,-1899.4408792594113,0.0,426.256,19.273465282610694,-22.116209708514926,489.1267318710099
8,-1880.7252379446,0.0,428.314,20.860666432307482,-20.532134071069677,421.5685295123803
9,-1862.0095966297881,0.0,428.136,20.569722992787238,-20.813892347997378,433.2181146740238
10,-1843.2939553149768,0.0,428.086,21.256401482847473,-20.13915668394942,405.5856319406646
11,-1824.5783140001652,0.0,426.566,20.34240998505339,-20.969295197246534,439.71134106926655
12,-1805.8626726853536,1.0,427.658,20.76461018174914,-20.547363820728357,422.19415998137663
13,-1787.1470313705422,0.0,427.718,20.228457084019045,-21.14437093365402,447.084422179953
14,-1768.4313900557304,0.0,429.73,20.059339470680477,-21.422938707832845,458.9423028795628
15,-1749.715748740919,0.0,428.658,20.0268079333677,-21.40420986840298,458.1402000906395
16,-1731.0001074261072,0.0,429.388,19.637042954579474,-21.866225021413634,478.1317966870957
17,-1712.2844661112958,0.0,428.96,19.959819638463667,-21.491176161400304,461.87065280034074
18,-1693.568824796484,1.0,427.862,21.560680787025245,-19.798168908324843,391.96749212256054
19,-1674.8531834816727,0.0,428.704,20.545568475951203,-20.866008185745866,435.3902976076135
20,-1656.1375421668608,0.0,427.382,19.39268099051805,-22.03831436246315,485.6872999387496
21,-1637.4219008520495,0.0,428.13,20.093011222810773,-21.307408593589074,454.0056609741535
22,-1618.7062595372377,0.0,427.804,21.199188286347194,-20.180206629681024,407.24073961662197
23,-1599.9906182224263,0.0,429.842,20.800986418917738,-20.66450077622638,427.02159233066067
24,-1581.2749769076145,0.0,427.754,22.08957862884669,-19.36451605470635,374.98448203298
25,-1562.559335592803,0.0,428.018,19.52961023676612,-21.916361607371986,480.32690610508877
26,-1543.8436942779913,0.0,429.436,20.596744985555354,-20.849702236987763,434.7100833710525
27,-1525.12805296318,0.0,426.972,19.649102167783646,-21.72984782480578,472.1862864892165
28,-1506.4124116483683,0.0,428.434,20.531187106448566,-20.867473360341386,435.4514444445574
29,-1487.6967703335567,0.0,429.214,21.499307058600753,-19.9640852995908,398.56470184933744
30,-1468.9811290187452,0.0,429.154,20.49063893586533,-20.943905231224388,438.6471663345083
31,-1450.2654877039336,0.0,427.922,21.906983270181215,-19.533588660857195,381.5610859715688
32,-1431.549846389122,2.0,426.618,21.293099257740753,-19.941578013620408,397.66653367330883
33,-1412.8342050743104,0.0,427.8,20.562879175835292,-20.80447958390643,432.8263707571795
34,-1394.1185637594988,0.0,428.758,20.83687682931394,-20.57688412290322,423.40816020738663
35,-1375.4029224446872,0.0,427.2,20.468316980152544,-20.87128123011979,435.6103801867507
36,-1356.6872811298756,0.0,429.78,22.024704311295537,-19.513542335257778,380.7783344698976
37,-1337.971639815064,0.0,428.146,20.36076334521867,-21.027993535445802,442.1765121267504
38,-1319.2559985002526,0.0,428.666,20.62499561212075,-20.78381048227155,431.9667781629808
39,-1300.5403571854408,0.0,427.508,20.577607635485716,-20.775398558128305,431.6171852490797
40,-1281.8247158706295,0.0,428.18,19.842469604361245,-21.578967161723096,465.65182376672374
41,-1263.1090745558176,0.0,427.894,21.054946307221957,-20.32273052404936,413.01337595312754
42,-1244.3934332410063,0.0,428.858,20.29014134992656,-21.136274637216967,446.74210553986126
43,-1225.6777919261945,1.0,428.24,20.376810349021753,-20.966971409267245,439.6138900770301
44,-1206.962150611383,0.0,427.804,19.962805013324154,-21.43005452963462,459.24723714311335
45,-1188.2465092965713,0.0,427.334,20.8220662759487,-20.523131294304253,421.19891812325056
46,-1169.53086798176,0.0,427.41,20.84758739039125,-20.501652876965288,420.31777068757907
47,-1150.815226666948,0.0,427.716,19.449507551606544,-21.991096631373082,483.60833105038853
48,-1132.0995853521367,1.0,427.24,20.25128144093602,-21.047556977722746,442.9996547304854
49,-1113.3839440373251,0.0,428.884,20.201350053894885,-21.230462263947047,450.73252794087955
50,-1094.6683027225135,0.0,429.194,20.09030522416222,-21.363239393885205,456.38799740044874
51,-1075.952661407702,0.0,429.196,21.122442661775647,-20.31943023221917,412.87924496202237
52,-1057.2370200928904,0.0,428.424,20.68951966576315,-20.707295622186557,428.79209198462655
53,-1038.5213787780788,0.0,425.712,21.595486935931785,-19.71300768827196,388.6026721178695
54,-1019.8057374632672,0.0,428.324,20.012671585772857,-21.402639730744315,458.0729874440351
55,-1001.0900961484557,0.0,428.794,20.534643021002328,-20.88149278083091,436.03674075589345
56,-982.3744548336441,0.0,428.234,20.71113816283403,-20.676507328238603,427.5179552947047
57,-963.6588135188325,4.0,428.928,20.667336935367402,-20.560365436963156,422.72862690146917
58,-944.9431722040209,2.0,429.02,21.005894410855248,-20.328579761846665,413.2511551337618
