Event,Detector,Constant,Count,RankWithinEvent
151012.2-v1,L1,Electron Mass (kg),7,16
151012.2-v1,L1,Tau Mass (kg),7,17
151012.2-v1,L1,Baryon-to-Photon Ratio,7,18
151012.2-v1,L1,Critical Density (kg/m^3),7,19
151012.2-v1,L1,Elementary Charge (C),7,20
151012.2-v1,L1,Plastic Constant,3,21
151012.2-v1,L1,Square Root of 2,2,22
151012.2-v1,L1,Pi,2,23
151012.2-v1,L1,Golden Ratio Conjugate,2,24
151012.2-v1,L1,Feigenbaum Alpha,1,25
151012.2-v1,L1,Square Root of 3,1,26
151012.2-v1,L1,Golden Ratio,1,27
151012.2-v1,L1,Planck Temperature (K),0,28
151012.2-v1,L1,Square Root of 5,0,29
151012.2-v1,L1,Speed of Light (m/s),0,30
151012.2-v1,L1,Solar Radius (m),0,31
151012.2-v1,L1,Solar Mass (kg),0,32
151012.2-v1,L1,Hubble Constant (km/s/Mpc),0,33
151012.2-v1,L1,Phi Squared,0,34
151012.2-v1,L1,Parsec (m),0,35
151012.2-v1,L1,Khinchin’s Constant,0,36
151012.2-v1,L1,Gas Constant R (J/(mol·K)),0,37
151012.2-v1,L1,Feigenbaum Delta,0,38
151012.2-v1,L1,Euler’s Number,0,39
151012.2-v1,L1,Euler–Mascheroni Constant,0,40
151012.2-v1,L1,Earth Radius (m),0,41
151012.2-v1,L1,Earth Mass (kg),0,42
151012.2-v1,L1,Coulomb Constant (N m^2 C^-2),0,43
151012.2-v1,L1,Cosmic Microwave Background Temp (K),0,44
151012.2-v1,L1,Avogadro Constant (1/mol),0,45
151012.2-v1,L1,Astronomical Unit (m),0,46
151012.2-v1,L1,Two Pi,0,47
151116-v1,H1,Catalan’s Constant,59,1
151116-v1,H1,Golden Ratio Conjugate,58,2
151116-v1,H1,Apéry’s Constant (zeta(3)),48,3
151116-v1,H1,Euler–Mascheroni Constant,39,4
151116-v1,H1,Golden Ratio,37,5
151116-v1,H1,Plastic Constant,10,6
151116-v1,H1,Absolute Zero (K),9,7
151116-v1,H1,Planck Length (m),9,8
151116-v1,H1,Planck Charge (C),9,9
151116-v1,H1,Planck Mass (kg),9,10
151116-v1,H1,Planck Time (s),9,11
151116-v1,H1,Neutron Mass (kg),9,12
151116-v1,H1,Muon Mass (kg),9,13
151116-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),9,14
151116-v1,H1,Proton Mass (kg),9,15
151116-v1,H1,Reduced Planck Constant (J·s),9,16
151116-v1,H1,Planck Constant (J·s),9,17
151116-v1,H1,Elementary Charge (C),9,18
151116-v1,H1,Electron Mass (kg),9,19
151116-v1,H1,Critical Density (kg/m^3),9,20
151116-v1,H1,Boltzmann Constant (J/K),9,21
151116-v1,H1,Baryon-to-Photon Ratio,9,22
151116-v1,H1,Tau Mass (kg),9,23
151116-v1,H1,Fine-Structure Constant,8,24
151116-v1,H1,Square Root of 2,5,25
151116-v1,H1,Square Root of 3,2,26
151116-v1,H1,Square Root of 5,1,27
151116-v1,H1,Feigenbaum Alpha,1,28
151116-v1,H1,Solar Mass (kg),0,29
151116-v1,H1,Solar Radius (m),0,30
151116-v1,H1,Speed of Light (m/s),0,31
151116-v1,H1,Planck Temperature (K),0,32
151116-v1,H1,Hubble Constant (km/s/Mpc),0,33
151116-v1,H1,Pi,0,34
151116-v1,H1,Phi Squared,0,35
151116-v1,H1,Parsec (m),0,36
151116-v1,H1,Khinchin’s Constant,0,37
151116-v1,H1,Gas Constant R (J/(mol·K)),0,38
151116-v1,H1,Feigenbaum Delta,0,39
151116-v1,H1,Euler’s Number,0,40
151116-v1,H1,Earth Radius (m),0,41
151116-v1,H1,Earth Mass (kg),0,42
151116-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
151116-v1,H1,Cosmic Microwave Background Temp (K),0,44
151116-v1,H1,Avogadro Constant (1/mol),0,45
151116-v1,H1,Astronomical Unit (m),0,46
151116-v1,H1,Two Pi,0,47
151116-v1,L1,Golden Ratio,27,1
151116-v1,L1,Golden Ratio Conjugate,24,2
151116-v1,L1,Euler–Mascheroni Constant,23,3
151116-v1,L1,Catalan’s Constant,16,4
151116-v1,L1,Apéry’s Constant (zeta(3)),7,5
151116-v1,L1,Phi Squared,2,6
151116-v1,L1,Khinchin’s Constant,2,7
151116-v1,L1,Plastic Constant,2,8
151116-v1,L1,Square Root of 5,1,9
151116-v1,L1,Planck Temperature (K),0,10
151116-v1,L1,Pi,0,11
151116-v1,L1,Planck Charge (C),0,12
151116-v1,L1,Planck Constant (J·s),0,13
151116-v1,L1,Planck Length (m),0,14
151116-v1,L1,Planck Mass (kg),0,15
151116-v1,L1,Absolute Zero (K),0,16
151116-v1,L1,Parsec (m),0,17
151116-v1,L1,Proton Mass (kg),0,18
151116-v1,L1,Reduced Planck Constant (J·s),0,19
151116-v1,L1,Solar Mass (kg),0,20
151116-v1,L1,Solar Radius (m),0,21
151116-v1,L1,Speed of Light (m/s),0,22
151116-v1,L1,Square Root of 2,0,23
151116-v1,L1,Square Root of 3,0,24
151116-v1,L1,Tau Mass (kg),0,25
151116-v1,L1,Planck Time (s),0,26
151116-v1,L1,Hubble Constant (km/s/Mpc),0,27
151116-v1,L1,Neutron Mass (kg),0,28
151116-v1,L1,Muon Mass (kg),0,29
151116-v1,L1,Astronomical Unit (m),0,30
151116-v1,L1,Avogadro Constant (1/mol),0,31
151116-v1,L1,Baryon-to-Photon Ratio,0,32
151116-v1,L1,Boltzmann Constant (J/K),0,33
151116-v1,L1,Cosmic Microwave Background Temp (K),0,34
151116-v1,L1,Coulomb Constant (N m^2 C^-2),0,35
151116-v1,L1,Critical Density (kg/m^3),0,36
151116-v1,L1,Earth Mass (kg),0,37
151116-v1,L1,Earth Radius (m),0,38
151116-v1,L1,Electron Mass (kg),0,39
151116-v1,L1,Elementary Charge (C),0,40
151116-v1,L1,Euler’s Number,0,41
151116-v1,L1,Feigenbaum Alpha,0,42
151116-v1,L1,Feigenbaum Delta,0,43
151116-v1,L1,Fine-Structure Constant,0,44
151116-v1,L1,Gas Constant R (J/(mol·K)),0,45
151116-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),0,46
151116-v1,L1,Two Pi,0,47
161202-v1,H1,Golden Ratio Conjugate,76,1
161202-v1,H1,Catalan’s Constant,63,2
161202-v1,H1,Golden Ratio,44,3
161202-v1,H1,Euler–Mascheroni Constant,43,4
161202-v1,H1,Apéry’s Constant (zeta(3)),27,5
161202-v1,H1,Absolute Zero (K),9,6
161202-v1,H1,Planck Constant (J·s),9,7
161202-v1,H1,Planck Length (m),9,8
161202-v1,H1,Planck Mass (kg),9,9
161202-v1,H1,Neutron Mass (kg),9,10
161202-v1,H1,Muon Mass (kg),9,11
161202-v1,H1,Planck Time (s),9,12
161202-v1,H1,Gravitational Constant (m^3 kg^-1 s^-2),9,13
161202-v1,H1,Proton Mass (kg),9,14
161202-v1,H1,Reduced Planck Constant (J·s),9,15
161202-v1,H1,Planck Charge (C),9,16
161202-v1,H1,Elementary Charge (C),9,17
161202-v1,H1,Electron Mass (kg),9,18
161202-v1,H1,Critical Density (kg/m^3),9,19
161202-v1,H1,Boltzmann Constant (J/K),9,20
161202-v1,H1,Baryon-to-Photon Ratio,9,21
161202-v1,H1,Tau Mass (kg),9,22
161202-v1,H1,Fine-Structure Constant,8,23
161202-v1,H1,Plastic Constant,8,24
161202-v1,H1,Square Root of 2,2,25
161202-v1,H1,Square Root of 3,1,26
161202-v1,H1,Square Root of 5,1,27
161202-v1,H1,Solar Radius (m),0,28
161202-v1,H1,Speed of Light (m/s),0,29
161202-v1,H1,Planck Temperature (K),0,30
161202-v1,H1,Solar Mass (kg),0,31
161202-v1,H1,Hubble Constant (km/s/Mpc),0,32
161202-v1,H1,Pi,0,33
161202-v1,H1,Phi Squared,0,34
161202-v1,H1,Parsec (m),0,35
161202-v1,H1,Khinchin’s Constant,0,36
161202-v1,H1,Gas Constant R (J/(mol·K)),0,37
161202-v1,H1,Feigenbaum Delta,0,38
161202-v1,H1,Feigenbaum Alpha,0,39
161202-v1,H1,Euler’s Number,0,40
161202-v1,H1,Earth Radius (m),0,41
161202-v1,H1,Earth Mass (kg),0,42
161202-v1,H1,Coulomb Constant (N m^2 C^-2),0,43
161202-v1,H1,Cosmic Microwave Background Temp (K),0,44
161202-v1,H1,Avogadro Constant (1/mol),0,45
161202-v1,H1,Astronomical Unit (m),0,46
161202-v1,H1,Two Pi,0,47
161202-v1,L1,Catalan’s Constant,49,1
161202-v1,L1,Absolute Zero (K),15,2
161202-v1,L1,Elementary Charge (C),15,3
161202-v1,L1,Planck Constant (J·s),15,4
161202-v1,L1,Planck Charge (C),15,5
161202-v1,L1,Planck Time (s),15,6
161202-v1,L1,Neutron Mass (kg),15,7
161202-v1,L1,Muon Mass (kg),15,8
161202-v1,L1,Gravitational Constant (m^3 kg^-1 s^-2),15,9
161202-v1,L1,Proton Mass (kg),15,10
161202-v1,L1,Reduced Planck Constant (J·s),15,11
161202-v1,L1,Fine-Structure Constant,15,12
161202-v1,L1,Planck Mass (kg),15,13
161202-v1,L1,Planck Length (m),15,14
161202-v1,L1,Boltzmann Constant (J/K),15,15
161202-v1,L1,Electron Mass (kg),15,16
