Event,Detector,WindowType,Domain,Constant,Count
151008-v1,H1,ON,AMP_P2D,Elementary Charge (C),0
151008-v1,H1,ON,AMP_P2D,Speed of Light (m/s),0
151008-v1,H1,ON,AMP_P2D,Hubble Constant (km/s/Mpc),0
151008-v1,H1,ON,AMP_P2D,Critical Density (kg/m^3),0
151008-v1,H1,ON,AMP_P2D,Baryon-to-Photon Ratio,0
151008-v1,H1,ON,AMP_P2D,Astronomical Unit (m),0
151008-v1,H1,ON,AMP_P2D,Parsec (m),0
151008-v1,H1,ON,AMP_P2D,Solar Mass (kg),0
151008-v1,H1,ON,AMP_P2D,Solar Radius (m),0
151008-v1,H1,ON,AMP_P2D,Earth Mass (kg),0
151008-v1,H1,ON,AMP_P2D,Earth Radius (m),0
151008-v1,H1,ON,AMP_D2D,Golden Ratio,1
151008-v1,H1,ON,AMP_D2D,Phi Squared,0
151008-v1,H1,ON,AMP_D2D,Pi,1
151008-v1,H1,ON,AMP_D2D,Two Pi,0
151008-v1,H1,ON,AMP_D2D,Euler’s Number,0
151008-v1,H1,ON,AMP_D2D,Euler–Mascheroni Constant,1
151008-v1,H1,ON,AMP_D2D,Square Root of 2,3
151008-v1,H1,ON,AMP_D2D,Square Root of 3,0
151008-v1,H1,ON,AMP_D2D,Square Root of 5,0
151008-v1,H1,ON,AMP_D2D,Golden Ratio Conjugate,0
151008-v1,H1,ON,AMP_D2D,Plastic Constant,2
151008-v1,H1,ON,AMP_D2D,Apéry’s Constant (zeta(3)),6
151008-v1,H1,ON,AMP_D2D,Catalan’s Constant,32
151008-v1,H1,ON,AMP_D2D,Feigenbaum Delta,0
151008-v1,H1,ON,AMP_D2D,Feigenbaum Alpha,0
151008-v1,H1,ON,AMP_D2D,Khinchin’s Constant,0
151008-v1,H1,ON,AMP_D2D,Planck Length (m),0
151008-v1,H1,ON,AMP_D2D,Planck Time (s),0
151008-v1,H1,ON,AMP_D2D,Planck Mass (kg),0
151008-v1,H1,ON,AMP_D2D,Planck Charge (C),0
151008-v1,H1,ON,AMP_D2D,Planck Temperature (K),0
151008-v1,H1,ON,AMP_D2D,Absolute Zero (K),0
151008-v1,H1,ON,AMP_D2D,Cosmic Microwave Background Temp (K),0
151008-v1,H1,ON,AMP_D2D,Boltzmann Constant (J/K),0
151008-v1,H1,ON,AMP_D2D,Avogadro Constant (1/mol),0
151008-v1,H1,ON,AMP_D2D,Gas Constant R (J/(mol·K)),0
151008-v1,H1,ON,AMP_D2D,Fine-Structure Constant,0
151008-v1,H1,ON,AMP_D2D,Gravitational Constant (m^3 kg^-1 s^-2),0
151008-v1,H1,ON,AMP_D2D,Coulomb Constant (N m^2 C^-2),0
151008-v1,H1,ON,AMP_D2D,Planck Constant (J·s),0
151008-v1,H1,ON,AMP_D2D,Reduced Planck Constant (J·s),0
151008-v1,H1,ON,AMP_D2D,Electron Mass (kg),0
151008-v1,H1,ON,AMP_D2D,Proton Mass (kg),0
